ISP_ASN, prefix, {geolocation}
CENTURYLINK_AS209, 209.136.249.0/24, {'209.136.249.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.249.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 67.14.0.0/17, {'67.14.0.100': {'city': None, 'state': None}, '67.14.60.100': {'city': None, 'state': None}, '67.14.120.100': {'city': None, 'state': None}}
CENTURYLINK_AS209, 209.136.248.0/24, {'209.136.248.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.248.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 198.50.5.0/24, {'198.50.5.50': {'city': 'Salt Lake City', 'state': 'Utah'}, '198.50.5.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
CENTURYLINK_AS209, 75.171.66.0/24, {'75.171.66.50': {'city': None, 'state': None}, '75.171.66.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 209.136.251.0/24, {'209.136.251.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.251.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 209.136.250.0/24, {'209.136.250.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.250.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 209.136.255.0/24, {'209.136.255.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.255.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 198.50.0.0/24, {'198.50.0.50': {'city': 'Salt Lake City', 'state': 'Utah'}, '198.50.0.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
CENTURYLINK_AS209, 68.233.63.0/24, {'68.233.63.50': {'city': None, 'state': None}, '68.233.63.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 23.160.96.0/24, {'23.160.96.50': {'city': 'Windsor', 'state': 'Colorado'}, '23.160.96.150': {'city': 'Severance', 'state': 'Colorado'}}
CENTURYLINK_AS209, 75.171.62.0/24, {'75.171.62.50': {'city': 'Eustis', 'state': 'Florida'}, '75.171.62.150': {'city': 'Eustis', 'state': 'Florida'}}
CENTURYLINK_AS209, 209.136.253.0/24, {'209.136.253.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.253.150': {'city': 'Memphis', 'state': 'Tennessee'}}
