ISP_ASN, prefix, {geolocation}
CENTURYLINK_AS209, 184.0.192.0/24, {'184.0.192.50': {'city': 'Rolla', 'state': 'Missouri'}, '184.0.192.150': {'city': 'Rolla', 'state': 'Missouri'}}
CENTURYLINK_AS209, 67.77.63.0/24, {'67.77.63.50': {'city': 'Rolla', 'state': 'Missouri'}, '67.77.63.150': {'city': 'Kansas City', 'state': 'Missouri'}}
CENTURYLINK_AS209, 64.45.254.0/24, {'64.45.254.50': {'city': 'Rolla', 'state': 'Missouri'}, '64.45.254.150': {'city': 'Rolla', 'state': 'Missouri'}}
CENTURYLINK_AS209, 209.142.189.0/24, {'209.142.189.50': {'city': 'Columbia', 'state': 'Missouri'}, '209.142.189.150': {'city': 'Columbia', 'state': 'Missouri'}}
CENTURYLINK_AS209, 68.70.238.0/24, {'68.70.238.50': {'city': None, 'state': None}, '68.70.238.150': {'city': 'Saddle Brooke', 'state': 'Arizona'}}
CENTURYLINK_AS209, 199.231.252.0/24, {'199.231.252.50': {'city': 'Saddle Brooke', 'state': 'Arizona'}, '199.231.252.150': {'city': 'Saddle Brooke', 'state': 'Arizona'}}
CENTURYLINK_AS209, 68.70.239.0/24, {'68.70.239.50': {'city': 'Saddle Brooke', 'state': 'Arizona'}, '68.70.239.150': {'city': 'Saddle Brooke', 'state': 'Arizona'}}
CENTURYLINK_AS209, 65.116.218.0/24, {'65.116.218.50': {'city': 'Chicago', 'state': 'Illinois'}, '65.116.218.150': {'city': 'Chicago', 'state': 'Illinois'}}
CENTURYLINK_AS209, 97.75.227.0/24, {'97.75.227.50': {'city': 'Saddle Brooke', 'state': 'Arizona'}, '97.75.227.150': {'city': 'Saddle Brooke', 'state': 'Arizona'}}
CENTURYLINK_AS209, 206.99.185.0/24, {'206.99.185.50': {'city': 'Monroe', 'state': 'Louisiana'}, '206.99.185.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 64.91.27.0/24, {'64.91.27.50': {'city': 'Columbia', 'state': 'Missouri'}, '64.91.27.150': {'city': 'Kansas City', 'state': 'Missouri'}}
CENTURYLINK_AS209, 67.77.62.0/24, {'67.77.62.50': {'city': 'Kansas City', 'state': 'Missouri'}, '67.77.62.150': {'city': 'Rolla', 'state': 'Missouri'}}
CENTURYLINK_AS209, 209.142.180.0/23, {'209.142.180.100': {'city': 'Columbia', 'state': 'Missouri'}, '209.142.181.100': {'city': 'Columbia', 'state': 'Missouri'}}
CENTURYLINK_AS209, 67.239.154.0/24, {'67.239.154.50': {'city': 'Rocky Mount', 'state': 'North Carolina'}, '67.239.154.150': {'city': 'Rocky Mount', 'state': 'North Carolina'}}
CENTURYLINK_AS209, 75.171.60.0/24, {'75.171.60.50': {'city': 'Tarboro', 'state': 'North Carolina'}, '75.171.60.150': {'city': 'Tarboro', 'state': 'North Carolina'}}
CENTURYLINK_AS209, 76.6.56.0/22, {'76.6.56.100': {'city': 'New York City', 'state': 'New York'}, '76.6.59.100': {'city': 'New York City', 'state': 'New York'}}
CENTURYLINK_AS209, 66.243.192.0/21, {'66.243.192.100': {'city': 'Alamosa', 'state': 'Colorado'}, '66.243.195.100': {'city': 'Crestone', 'state': 'Colorado'}, '66.243.198.100': {'city': 'Crestone', 'state': 'Colorado'}}
CENTURYLINK_AS209, 75.171.59.0/24, {'75.171.59.50': {'city': 'Kissimmee', 'state': 'Florida'}, '75.171.59.150': {'city': 'Albuquerque', 'state': 'New Mexico'}}
CENTURYLINK_AS209, 64.45.252.0/24, {'64.45.252.50': {'city': 'Kansas City', 'state': 'Missouri'}, '64.45.252.150': {'city': 'Rolla', 'state': 'Missouri'}}
CENTURYLINK_AS209, 97.75.234.0/24, {'97.75.234.50': {'city': 'Saddle Brooke', 'state': 'Arizona'}, '97.75.234.150': {'city': 'Saddle Brooke', 'state': 'Arizona'}}
CENTURYLINK_AS209, 184.159.80.0/24, {'184.159.80.50': {'city': 'Denver', 'state': 'Colorado'}, '184.159.80.150': {'city': 'Tukwila', 'state': 'Washington'}}
CENTURYLINK_AS209, 67.239.152.0/23, {'67.239.152.100': {'city': 'Rocky Mount', 'state': 'North Carolina'}, '67.239.153.100': {'city': 'Rocky Mount', 'state': 'North Carolina'}}
CENTURYLINK_AS209, 63.156.135.0/24, {'63.156.135.50': {'city': 'Albuquerque', 'state': 'New Mexico'}, '63.156.135.150': {'city': 'Albuquerque', 'state': 'New Mexico'}}
SUDDENLINK_AS19108, 24.156.17.0/24, {'24.156.17.50': {'city': 'Mohave Valley', 'state': 'Arizona'}, '24.156.17.150': {'city': 'Tyler', 'state': 'Texas'}}
SUDDENLINK_AS19108, 64.72.42.0/23, {'64.72.42.100': {'city': 'Brenham', 'state': 'Texas'}, '64.72.43.100': {'city': 'Brenham', 'state': 'Texas'}}
GOOGLE-LLC_AS15169, 35.206.1.0/24, {'35.206.1.50': {'city': 'New York City', 'state': 'New York'}, '35.206.1.150': {'city': 'New York City', 'state': 'New York'}}
GOOGLE-LLC_AS15169, 35.206.6.0/24, {'35.206.6.50': {'city': 'Dallas', 'state': 'Texas'}, '35.206.6.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 47.190.134.0/23, {'47.190.134.100': {'city': 'Dallas', 'state': 'Texas'}, '47.190.135.100': {'city': 'Grand Prairie', 'state': 'Texas'}}
FRONTIER_AS5650, 47.190.128.0/18, {'47.190.128.100': {'city': 'Houston', 'state': 'Texas'}, '47.190.158.100': {'city': 'Rowlett', 'state': 'Texas'}, '47.190.188.100': {'city': 'Rochester', 'state': 'New York'}}
FRONTIER_AS5650, 47.190.132.0/23, {'47.190.132.100': {'city': 'Grapevine', 'state': 'Texas'}, '47.190.133.100': {'city': 'Quincy', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 47.190.156.0/22, {'47.190.156.100': {'city': 'Plano', 'state': 'Texas'}, '47.190.159.100': {'city': 'Plano', 'state': 'Texas'}}
FRONTIER_AS5650, 47.190.136.0/23, {'47.190.136.100': {'city': 'Denton', 'state': 'Texas'}, '47.190.137.100': {'city': 'Grapevine', 'state': 'Texas'}}
