ISP_ASN, prefix, {geolocation}
GOOGLE-FIBRE_AS16591, 136.36.64.0/20, {'136.36.64.100': {'city': 'Salt Lake City', 'state': 'Utah'}, '136.36.70.100': {'city': 'Salt Lake City', 'state': 'Utah'}, '136.36.76.100': {'city': 'Salt Lake City', 'state': 'Utah'}}
WINDSTREAM_AS7029, 149.104.0.0/19, {'149.104.0.100': {'city': None, 'state': None}, '149.104.15.100': {'city': None, 'state': None}, '149.104.30.100': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 192.177.72.0/21, {'192.177.72.100': {'city': 'Edison', 'state': 'New Jersey'}, '192.177.75.100': {'city': 'Iselin', 'state': 'New Jersey'}, '192.177.78.100': {'city': 'Queens', 'state': 'New York'}}
WINDSTREAM_AS7029, 162.39.96.0/24, {'162.39.96.50': {'city': 'Dothan', 'state': 'Alabama'}, '162.39.96.150': {'city': 'Lawrenceville', 'state': 'Georgia'}}
WINDSTREAM_AS7029, 170.30.188.0/23, {'170.30.188.100': {'city': None, 'state': None}, '170.30.189.100': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 67.217.128.0/20, {'67.217.128.100': {'city': None, 'state': None}, '67.217.134.100': {'city': 'Chicago', 'state': 'Illinois'}, '67.217.140.100': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 205.147.192.0/21, {'205.147.192.100': {'city': None, 'state': None}, '205.147.195.100': {'city': None, 'state': None}, '205.147.198.100': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 67.217.129.0/24, {'67.217.129.50': {'city': 'Chicago', 'state': 'Illinois'}, '67.217.129.150': {'city': 'Chicago', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 206.246.218.0/23, {'206.246.218.100': {'city': 'Birmingham', 'state': 'Alabama'}, '206.246.219.100': {'city': 'Birmingham', 'state': 'Alabama'}}
WINDSTREAM_AS7029, 199.204.60.0/22, {'199.204.60.100': {'city': None, 'state': None}, '199.204.63.100': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 199.223.139.0/24, {'199.223.139.50': {'city': 'Bristol', 'state': 'Connecticut'}, '199.223.139.150': {'city': 'Bristol', 'state': 'Connecticut'}}
WINDSTREAM_AS7029, 47.79.64.0/19, {'47.79.64.100': {'city': 'Marlboro', 'state': 'New Jersey'}, '47.79.79.100': {'city': 'Marlboro', 'state': 'New Jersey'}, '47.79.94.100': {'city': 'Porter Ranch', 'state': 'California'}}
WINDSTREAM_AS7029, 192.177.120.0/21, {'192.177.120.100': {'city': 'Rowland Heights', 'state': 'California'}, '192.177.123.100': {'city': 'Queens', 'state': 'New York'}, '192.177.126.100': {'city': 'Birmingham', 'state': 'Michigan'}}
WINDSTREAM_AS7029, 192.177.96.0/21, {'192.177.96.100': {'city': 'Merrick', 'state': 'New York'}, '192.177.99.100': {'city': 'Merrick', 'state': 'New York'}, '192.177.102.100': {'city': 'Brooklyn', 'state': 'New York'}}
WINDSTREAM_AS7029, 67.217.140.0/24, {'67.217.140.50': {'city': None, 'state': None}, '67.217.140.150': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 63.250.251.0/24, {'63.250.251.50': {'city': 'Crest Hill', 'state': 'Illinois'}, '63.250.251.150': {'city': 'Crest Hill', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 192.177.88.0/21, {'192.177.88.100': {'city': 'Queens', 'state': 'New York'}, '192.177.91.100': {'city': 'Arlington', 'state': 'Virginia'}, '192.177.94.100': {'city': 'Woodcliff Lake', 'state': 'New Jersey'}}
WINDSTREAM_AS7029, 67.217.134.0/24, {'67.217.134.50': {'city': 'Chicago', 'state': 'Illinois'}, '67.217.134.150': {'city': 'Chicago', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 194.62.247.0/24, {'194.62.247.50': {'city': None, 'state': None}, '194.62.247.150': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 205.14.192.0/21, {'205.14.192.100': {'city': None, 'state': None}, '205.14.195.100': {'city': None, 'state': None}, '205.14.198.100': {'city': None, 'state': None}}
