ISP_ASN, prefix, {geolocation}
COMCAST_AS7922, 96.114.20.0/22, {'96.114.20.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.114.23.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.113.126.0/23, {'96.113.126.100': {'city': 'Seattle', 'state': 'Washington'}, '96.113.127.100': {'city': 'Seattle', 'state': 'Washington'}}
COMCAST_AS7922, 96.113.245.0/24, {'96.113.245.50': {'city': 'Seattle', 'state': 'Washington'}, '96.113.245.150': {'city': 'Seattle', 'state': 'Washington'}}
COMCAST_AS7922, 96.113.192.0/21, {'96.113.192.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.113.195.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.113.198.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.99.174.0/24, {'96.99.174.50': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.99.174.150': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.115.218.0/23, {'96.115.218.100': {'city': 'Chicago', 'state': 'Illinois'}, '96.115.219.100': {'city': 'Chicago', 'state': 'Illinois'}}
COMCAST_AS7922, 162.151.100.0/24, {'162.151.100.50': {'city': 'Denver', 'state': 'Colorado'}, '162.151.100.150': {'city': 'Denver', 'state': 'Colorado'}}
COMCAST_AS7922, 96.115.80.0/22, {'96.115.80.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.115.83.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.108.108.0/23, {'96.108.108.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.108.109.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.116.64.0/19, {'96.116.64.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.116.79.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.116.94.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 162.151.192.0/21, {'162.151.192.100': {'city': 'Ashburn', 'state': 'Virginia'}, '162.151.195.100': {'city': 'Ashburn', 'state': 'Virginia'}, '162.151.198.100': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 96.99.171.0/24, {'96.99.171.50': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.99.171.150': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 69.252.238.0/23, {'69.252.238.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '69.252.239.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.114.0.0/22, {'96.114.0.100': {'city': 'Denver', 'state': 'Colorado'}, '96.114.3.100': {'city': 'Denver', 'state': 'Colorado'}}
