ISP_ASN, prefix, {geolocation}
COMCAST_AS7922, 96.113.112.0/24, {'96.113.112.50': {'city': None, 'state': None}, '96.113.112.150': {'city': None, 'state': None}}
COMCAST_AS7922, 162.150.18.0/24, {'162.150.18.50': {'city': None, 'state': None}, '162.150.18.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.112.160.0/22, {'96.112.160.100': {'city': None, 'state': None}, '96.112.163.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.115.160.0/21, {'96.115.160.100': {'city': None, 'state': None}, '96.115.163.100': {'city': None, 'state': None}, '96.115.166.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.140.0/22, {'162.151.140.100': {'city': None, 'state': None}, '162.151.143.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.0.0/21, {'96.113.0.100': {'city': None, 'state': None}, '96.113.3.100': {'city': None, 'state': None}, '96.113.6.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.148.108.0/23, {'162.148.108.100': {'city': None, 'state': None}, '162.148.109.100': {'city': None, 'state': None}}
COMCAST_AS7922, 67.164.232.0/24, {'67.164.232.50': {'city': 'Castle Rock', 'state': 'Colorado'}, '67.164.232.150': {'city': 'Castle Rock', 'state': 'Colorado'}}
COMCAST_AS7922, 96.116.48.0/20, {'96.116.48.100': {'city': None, 'state': None}, '96.116.54.100': {'city': None, 'state': None}, '96.116.60.100': {'city': None, 'state': None}}
COMCAST_AS7922, 76.96.208.0/24, {'76.96.208.50': {'city': None, 'state': None}, '76.96.208.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.119.224.0/20, {'96.119.224.100': {'city': None, 'state': None}, '96.119.230.100': {'city': None, 'state': None}, '96.119.236.100': {'city': None, 'state': None}}
COMCAST_AS7922, 184.126.2.0/23, {'184.126.2.100': {'city': None, 'state': None}, '184.126.3.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.16.0/22, {'96.113.16.100': {'city': None, 'state': None}, '96.113.19.100': {'city': None, 'state': None}}
COMCAST_AS7922, 76.96.24.0/21, {'76.96.24.100': {'city': None, 'state': None}, '76.96.27.100': {'city': None, 'state': None}, '76.96.30.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.109.82.0/23, {'96.109.82.100': {'city': None, 'state': None}, '96.109.83.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.117.96.0/19, {'96.117.96.100': {'city': None, 'state': None}, '96.117.111.100': {'city': None, 'state': None}, '96.117.126.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.115.192.0/22, {'96.115.192.100': {'city': None, 'state': None}, '96.115.195.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.150.56.0/21, {'162.150.56.100': {'city': None, 'state': None}, '162.150.59.100': {'city': None, 'state': None}, '162.150.62.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.72.0/22, {'96.114.72.100': {'city': None, 'state': None}, '96.114.75.100': {'city': None, 'state': None}}
COMCAST_AS7922, 69.252.204.0/22, {'69.252.204.100': {'city': 'Marana', 'state': 'Arizona'}, '69.252.207.100': {'city': 'Marana', 'state': 'Arizona'}}
COMCAST_AS7922, 96.216.4.0/22, {'96.216.4.100': {'city': 'Millington', 'state': 'Michigan'}, '96.216.7.100': {'city': 'Millington', 'state': 'Michigan'}}
COMCAST_AS7922, 96.113.108.0/22, {'96.113.108.100': {'city': None, 'state': None}, '96.113.111.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.176.0/22, {'162.151.176.100': {'city': None, 'state': None}, '162.151.179.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.209.0/24, {'96.114.209.50': {'city': None, 'state': None}, '96.114.209.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.100.0/22, {'96.114.100.100': {'city': None, 'state': None}, '96.114.103.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.200.0/21, {'162.151.200.100': {'city': None, 'state': None}, '162.151.203.100': {'city': None, 'state': None}, '162.151.206.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.117.0.0/19, {'96.117.0.100': {'city': None, 'state': None}, '96.117.15.100': {'city': None, 'state': None}, '96.117.30.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.156.0/22, {'162.151.156.100': {'city': None, 'state': None}, '162.151.159.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.226.0/23, {'96.113.226.100': {'city': None, 'state': None}, '96.113.227.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.110.80.0/21, {'96.110.80.100': {'city': None, 'state': None}, '96.110.83.100': {'city': None, 'state': None}, '96.110.86.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.119.176.0/20, {'96.119.176.100': {'city': None, 'state': None}, '96.119.182.100': {'city': None, 'state': None}, '96.119.188.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.224.0/24, {'162.151.224.50': {'city': None, 'state': None}, '162.151.224.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.92.0/22, {'96.108.92.100': {'city': None, 'state': None}, '96.108.95.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.102.64.0/18, {'96.102.64.100': {'city': None, 'state': None}, '96.102.94.100': {'city': None, 'state': None}, '96.102.124.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.110.72.0/21, {'96.110.72.100': {'city': None, 'state': None}, '96.110.75.100': {'city': None, 'state': None}, '96.110.78.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.112.152.0/21, {'96.112.152.100': {'city': None, 'state': None}, '96.112.155.100': {'city': None, 'state': None}, '96.112.158.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.112.176.0/21, {'96.112.176.100': {'city': None, 'state': None}, '96.112.179.100': {'city': None, 'state': None}, '96.112.182.100': {'city': None, 'state': None}}
COMCAST_AS7922, 76.96.218.0/24, {'76.96.218.50': {'city': None, 'state': None}, '76.96.218.150': {'city': None, 'state': None}}
COMCAST_AS7922, 69.241.52.0/23, {'69.241.52.100': {'city': 'Peoria', 'state': 'Illinois'}, '69.241.53.100': {'city': 'Peoria', 'state': 'Illinois'}}
COMCAST_AS7922, 96.114.48.0/23, {'96.114.48.100': {'city': None, 'state': None}, '96.114.49.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.12.0/22, {'96.108.12.100': {'city': None, 'state': None}, '96.108.15.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.109.96.0/22, {'96.109.96.100': {'city': None, 'state': None}, '96.109.99.100': {'city': None, 'state': None}}
COMCAST_AS7922, 69.252.122.0/23, {'69.252.122.100': {'city': None, 'state': None}, '69.252.123.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.96.0/23, {'96.108.96.100': {'city': None, 'state': None}, '96.108.97.100': {'city': None, 'state': None}}
COMCAST_AS7922, 67.164.234.0/23, {'67.164.234.100': {'city': 'Castle Rock', 'state': 'Colorado'}, '67.164.235.100': {'city': 'Castle Rock', 'state': 'Colorado'}}
COMCAST_AS7922, 162.151.132.0/23, {'162.151.132.100': {'city': None, 'state': None}, '162.151.133.100': {'city': None, 'state': None}}
